Case,Recommended Solution
"FURNITURE MANUFACTURER

Question:
You are having lunch with the CEO of a major furniture manufacturer (couches, loveseats, and tables). He shows
you this income statement for their furniture company and gives you some industry averages. He is trying to figure
out what is going on and any recommendations that would you have?
Income Statement
Gross Revenue 600 105% of Net Revenue
Net Revenue 570
COGS 496 87% of Net Revenue
Gross Profit 74
SGA 57 10% of Net Revenue
Operating Profit 17
Interest 0
Taxes 6
Net Profit 11 2% of Net Revenue

Industry Average
Returns & Allowances = 2%

COGS = 80%

Net Profit = 10% of Net Sales

Starting Points:

What are our client’s goals? Client is primarily interested in maximizing profit.
Why do furniture manufacturers have returns and allowances? If the retail furniture seller sees visible marks or
tears on the furniture.
Does our client have more expensive raw materials? No, they have similar RM costs to the industry.
Does our client have more expensive labor costs? No, they have similar labor costs to the industry.
Does the client’s competitors have economies of scale advantage? No, we actually have the largest sales in the
industry.
Does our client have more expensive transportation costs? No, they have similar transportation costs.
What is the market? Describe the customer segment(s) that they sell to? Our market and so is our competitors
is the medium priced furniture, as such this does not include the extremely expensive furniture so both groups
are selling the similar type furniture.

Who does our client typically sell furniture to (segment) ?
Æ End customer – Apartment dwellers and first-time home buyers
Æ Immediate customer – 40% to furniture stores and 60% through department stores where client has exclusive
arrangements to sell only their furniture – One dept. store accounts for 10% of all sales.
Who does our client competitors typically sell furniture to (segment) ?
Æ End customer – Apartment dwellers and first-time home buyers
Æ Immediate customer – 90% to furniture stores and 10% through department stores where client has exclusive
arrangements to sell only their furniture.
Are there price differences in what we charge the two different customer segments?
Æ Yes, our salespeople tell us that the department stores typically demand a price break for the exclusive
arrangement or else they switch to a competitor. They have also been pushing for larger price breaks in
recent years.
How do we sell to these different segments? We hire independent furniture salespeople to contract with each
store.
How do we compensate the furniture salespeople? We pay them a 5% commission based of Net Revenue.
Do the salespeople have the ability to adjust the price? Yes they do.","Possible Approach:
Consider the problem from both a cost and revenue perspectives. The Five Forces framework, if used properly,
allows you to realize that the main problem is not a cost issue, but a revenue issue due to the major buyer market,
department stores, that this furniture manufacture is using. They are using their buyer power to demand price
discounts or else they will switch to a competitor. That is why the rest of the industry does not rely on department
stores for much of their revenue. As such, this company is getting more revenue at the expense of poor profitability.
Identifying that this is a revenue issue is a B answer.
Solution:
The A answer also includes insight into the poor incentive plan for the independent furniture salespeople since it is
based on net revenue and not on gross margin. One suggestion may be to internalize the salespeople positions for
the department stores, especially since your largest customer, 10% of sales 60MM, the sales rep earns $3MM per
year for that account.
The A+ answer also recognizes that the 2% Net Profit includes no interest so that this company has no debt and is
under-performing which means two things. First, with loan interest, this company could be losing money, and
second, being all equity-based and under-performing may make this an attractive takeover target."
"MERGER CANDIDATE IN THE CHEMICAL INDUSTRY

Question:
A major chemical producer has asked us to evaluate another major participant in the industry. Both companies are
bulk commodity chemical producers. We have been asked to begin our work by analyzing the future prospects of
the target company’s main product line, a bulk chemical used in the production of plastics. Essential facts include:

Production of this chemical has slowly declined over the last five years.
Prices have declined rapidly.
There are 7 to 8 major producers; the largest producer has a 30 percent share; number two has 20 percent our
target company has 15 percent; the rest is divided among other competitors.
The two largest competitors earn a small return; target company is probably at break-even; rest are operating
at break-even or loss.
The largest competitor has just announced construction plans for a major new plant.
How would you structure an analysis of the target company’s future prospects in this product line?","Approach:
An acceptable approach should, at a minimum, address the following issues:
1. What markets use this chemical, and what has been the nature of growth in these markets? (End-use markets
are largely automotive-related.)
2. How much overall capacity exists now? (Far too much.)
1. What has been relative capacity utilization of competitors in the industry? (60 to 70 percent for last 3 years.)
2. What are relative cost positions of competitors? (Related to size/efficiency/age of plant; target company has
reasonably “good” position.)
Better answers will move beyond the previous answers to consider:
1. How rational is pricing? (Prone to self-destructive cuts to gain temporary share points.)
2. Are there niche or value-added uses for chemical? (Not really.)
3. Does the chemical have a major by-product or is it a by-product? (Not of significance.)
4. How often have companies entered/exited, and how expensive is entry/exit? (Entry expensive; exit cheap for
most because older plants are fully depreciated.)
5. How important is this product line to each of the competitors? (Most producers are diversified.)
The best answers could address:
1. Reasons for announced capacity expansion. (It is a bluff to try and get smaller competitors to shut own.)
2. Is regulation important? (Yes: all competitors have installed pollution control equipment.)
3. What is nature of operational improvements that target company could make? (Lots.)
4. How is product sold and distributed? (Economies of scale in marketing and transport are critical.)
5. Is there synergy between our client and target? (Not really.)"
"AIRPLANE MANUFACTURER
Question:
You are consulting to a CEO of an airplane manufacturer. In the last couple of years you have gone from being
number one in market share to number two. In addition, another company has announced that it will be entering the
business and is presently tooling up its plant. As a consultant, what are the concerns your client might face, what
additional information might you want to find out, and what recommendations would you have?","Approach:
The airplane industry’s demand is a function of travel amongst two classes: business and leisure. Business travel
increases as a result of globalization. Leisure travel increases with growth of middle and upper classes. Business
travelers are primarily insensitive to price, leisure travelers are very price-sensitive.
The current competitor; a comparison:
Price, service, technology, heritage, safety. It turns out that the competitor’s plane is cheaper to operate because it is
more fuel-efficient. The consultant should ask strategically whether the firm is interested in the manufacture of more
fuel-efficient planes. The answer would depend on the future of oil prices. Instead, it may be better to try to
compete on the basis of price, safety and service.
Prevention of a new competitor gaining market share:
Solution:
Key: creation of barriers to entry.
Long-term contracts are pre-emptive.
High concern, on the part of purchases, for a proven safety track record."
"AGRICULTURAL EQUIPMENT MANUFACTURER

Question:
Your client is a large agricultural equipment manufacturer. Their primary product line, farming tractors, is losing
money. What questions would you ask of your client to help them solve their profitability problem?","Approach:
You might want to start off by asking how many competitors there are. Suppose there are two direct competitors.

Your clients 40% of the market, competitor #1: 30%, competitor #2: 15% with the remaining 15% belonging to
many small manufacturers.
Five years ago, your client had 60% of the market, competitor #1: 15% and competitor #2: 10%. Obviously,
your client has lost significant market share to its two competitors over the last few years.
Do all three competitors sell to the same customers?
Your client’s product is priced higher than the others. Has this always been the case? (Yes)
Are the products the same?
- Essentially yes, they all have the same basic features. Of course, tractors are not commodity items and a
few differences do exist.
What are the differences that allow you to charge a premium for your product?
- Your client has a strong reputation/image of quality in the market and the market has always been willing
to pay a premium for that reputation because it meant they would last longer and need less maintenance.
This can be critical for some farmers who can’t afford to have equipment break down at a critical time.
Are sales revenues down? Are sales quantities down? (Yes)
Is the price down? All costs the same? (No. In fact both the price and costs are up.)
Have fixed costs increased? (No. Material costs (variable costs) have gone up out of sight, and the client has no
answer as to why material prices have gone up so much.)
Do you manufacture your tractor or just assemble it? (Primarily an assembly operation.) Finished part prices
have gone up? (Yes)
Raw material prices for your suppliers? (I don’t believe so)
Have labor costs increased for your supplier? (No)
Have you changed suppliers? (No)
Why are your suppliers charging you higher prices for the same product? (Well, they’re not, the prices have
increased as a result of our product improvement efforts. We’ve tightened tolerances and improved the
durability of our component parts.)
Why do you make these improvements? (Because we strive to continue to sell the best tractors in the world.)
Are your customers willing to pay for these products improvements? (What do you mean.)
Are your customers willing to pay a marginal price which will cover your cost of implementing these
improvements? (I don’t know. I guess we assume that they will. . .)

Solution:
It turns out that the prices have been raised to cover the costs of these improvements, but the customers do not value
these improvements unless they are essentially free, so sales are down. The client needs to incorporate a cost/benefit
analysis procedure into its product improvement process. Don’t forget though, that you must consider the long-term
effects of these decisions."
"TAIWAN

Question:
You are a consultant advising the government of Taiwan. Government officials want to move from low value-added
products, like textiles, to high value-added products, like aerospace.

Additional Information:
What not to do –
Forget about profitability and competitors.
Ask about Taiwan’s history and culture without addressing the issues in the case.","Possible Approach:

What are Taiwan’s resources?
• Labor? Skilled workforce.
• Capital? Inflows from Europe and America?
• Infrastructure?
• Components? Supplier industries?
What does the industry look like on a global basis?
• Is it profitable? Is it growing?
• Who are the players / competitors? What are their competencies?
• Can we find a niche?
Who would the buyers be?
• Can we serve them?
Also, what will the country lose by moving away from low value-added products, like textiles?
• Dislocation of workers"
"BOOK PUBLISHER

Question:
Develop a strategy to help a major book publisher explore new strategic opportunities and risks.","Possible Approach
Key factors

Buyer power has been increasing due to the movement away from the corner bookstore towards the large
chains that give discounts to readers off the publisher’s price.
Internet book sales give more power to the buyer.
Increasing substitutes caused by video games, books on tape and video on demand.
Increasing competition between publishers causing reduced margins (buyer power) and saturated market
(increasing substitutes) and proliferation of titles. Also no real branding among publishers that published the
last book that you read?)
Increasing competition leading to higher advances to well known authors (millions of dollars in many cases).
Conclusion:
Become a market leader by announcing new terms and conditions for the large book retailers. If the other
major players in the industry follow the lead, the industry may become more profitable as a whole. If not, the
client may need to move back to the old terms in the industry.
Focus on the books or types of books that have an expected positive NPV. The proliferation of books
probably has caused unprofitable titles.
Forward integrate into bookstores.
Develop online strategy that capitalizes on existing distribution relationships and pricing strengths."
"INTRA-OCULAR LENSES

Question:
The client produces intra-ocular lenses. It is known for premium quality and used to be the market leader, but the
overall market and the client’s share have declined. What should be the strategy to become the market leader again?","Possible Approach:
What has changed since the time of market leadership?:
Company

Product, prices, sales/marketing changes? Nothing significant.
Customer
Have customer wants / needs changed?
Have buying / usage behavior changed?
Are there new buyers?
Customers have become more price sensitive and the type of buyer has changed. The new buyers are
institutional buyers rather than doctors.
Competitors
New entrants, new products, different positioning, new substitutes? The product has become more
standardized, more of a commodity product.
Solution:
A new distribution system to target institutional buyers rather than doctors and a low cost product are key to
selling to new buyers in this commodity market.
Cost leadership is important because of the commodity nature of the product.
Note: You can change the frameworks to be more useful to you and to be less obvious to the interviewer. Here the 3
C’s framework was used, but many of the Porter concepts were also adopted in the questioning."
"SPARK PLUGS

Question:
We have a client who is interested in opening a manufacturing plant for spark plugs in Spain. How would you
advise them?","Approach:
The interviewer begins by pushing for your snapshot of the size of the Spanish spark plug market. Think through all
the uses for spark plugs in an economy (cars, trucks, diesel engines, lawn- mowers, etc). How many sparkplugs per
cylinder in an engine? What is the market segmentation of the car market (4-cylinder vs. 8-cylinder cars for
instance)? How many cars per year are manufactured in Spain (new market each year)? Ignore corporate fleet
demand and truck market - only look at consumer market. What is the economic life of spark plugs?
One possible figure.
Assume:
Mention other uses of spark plugs but focus on passenger car market for simplicity.
Population of 36 million.
Assume number of new cars bought each yr. per family
Assume economic life of new cars
Number of spark plug changes over economic life, etc.
After achieving an annual demand number for spark plugs, analyze the market conditions. Use Five Forces.
Suppliers/ Buyers strength, barriers to entry, threat of substitutes, firm rivalry conditions. Probe interviewer for raw
materials needed for spark plugs. Is Spain well situated because of market isolation? Low wages? Proximity to
supporting industries, manufacturing consumers, etc. What are the different cost components to spark plugs (raw
materials, labor content, transportation, margin, etc)? What are technology needs in the manufacturing process?
Understand order-winning criteria for auto manufacturing contracts. The firm wants to capture how the candidate
will attack, frame and dissect a very complicated process in both a country and with a product that they are
unfamiliar.
Note: This case incorporates a tour de force of Porter’s Five Forces analysis, a country Diamond overview, your
ability to conduct ""guesstimations ""in foreign markets and a basic understanding of supply chain interaction."
"PETROL STATIONS

Question:
A large oil company with nation-wide retail petrol stations wishes to evaluate the competitiveness of its outlets.
What would you want to look at, how would you look, what would you hope to find out?","Approach:
What drives customer preferences? (subjectively and empirically)
If the client has enough stations, consider the different stations in similar customer situations (traffic flows,
population, competition) and understand how differences in format, pricing and services affect volumes. -
This is a convenient point at which to apply the 4 Ps framework.
Where good peer groups are not available, it is possible to, pilot changes in certain aspects of the store’s
situation to understand what effect these changes have. This may then generate follow up questions about
how to design and ensure the reliability of such tests.
Market research to understand subjective customer preferences. A survey combined with demographic
profiles. (This is a good point to cover things you think might be important about gas stations such as price,
convenience store, service, paying at the pump, easy entrance and exit, well lit, design aspects, ease of credit
card payment, etc.) It would also be appropriate to compare with industry averages.
Brand loyalty - if the good locations in a market are foreclosed to me, does it matter how competitive my
stores are? Will customers switch stations - what switching costs are involved and what type of benefits do I
have to impart to win volume?
Consider both content issues (such as using the 4 P’s framework) and the process issues (i.e. how to get the
required information - as covered in the points above)."
"Question:
Our client: A big Canadian Retail chain
Problem: Wal-Mart has just brought a retail chain in Canada. Should we be worried? Why? What can we do?","Approach:

Data: We own 20 stores, Wal-Mart just bought 50. We sell more or less the same as them, and their stores
are close to ours. Therefore, they can be a threat to our operations.
Are they a threat? Check the financial data:

Us Wal-Mart
Revenue 100% 100%
COGS 50% 53%
Store Operations 20% 22%
Corp. Overheads 20% 20%
Operating Profit 10% 5%

This data doesn’t tell us much: our higher profits could come from higher prices, which we wouldn’t be able
to maintain once we had to compete face-to-face with Wal-Mart. Therefore, the next thing to do is to
compare their prices to ours. How? Easiest way (what they actually did): go through a Wal-Mart store, and
take notes. Compare a set of their products with ours.
Once they did this, they found that Wal-Mart was 10% cheaper. What does this means?
It means that if we are forced to match their prices, we will have an operating profit of around 0%.
Solution:
What can the company do?
Lower costs. Problem Wal-Mart is exceptionally good in this area, and we will probably be unable to match
their costs.
Sell them our chain, give in. Not a viable solution, so move on...
Try to differentiate us: appeal to the Canadian’s sensor of patriotism (buy Canadian). Will probably not
work in the long run, because eventually people will get tired of this and just buy where it is cheaper.
Use our better knowledge of the Canadian customer to optimize our product line, targeting Canadian tastes
and preferences.
Change our product line: Sell some products that Wal-Mart does not offer, products that can be sold at high
margins."
"CAR MANUFACTURER
Question:
Your client is dominant auto manufacturer in the US, you are hired to implement a cost reduction program. Where
would you start, what are your recommendations?","Possible Approach:
This is a 3-stage case, the first stage being the problem identification, second is the recommendation of solutions and
the implementation of the solution.
Stage 1: Problem Identification
Focus on the main cost components in the car manufacturer.

Fixed Costs: Overheads, Plants, Capital Equipment and Variable Costs: Labor, Direct Material Costs.
Benchmark your client’s costs relative to that of a competitor. It turns out that the Direct Material Costs (i.e.
car components and sub-assemblies) are much higher than that of our competitors.
Why? Each car model requires too many variants of components. For instance one model of family sedan has
24 variants of steering wheels. The result is that our steer wheel supplier is not able to have economies of
scale in its production of steer wheels and passes the increased costs to us. Our client has over 30 chassis
platforms for all the models in its range, while our key competitor only has 12 different platforms.
Stage 2: Recommend Solution
The solution is to lower component costs by lowering the number types of components and have different models
share the same base components or platforms. E.g. Instead of having 24 kinds of steering wheels, attempts to reduce
the number of variants.
What is our basis for reducing the number of variants? Similarity in design, parameters and requirements.
Overlapping parts. After using this criteria, we now have reduced the number of steering wheel variants from
24 to 10, how do we go about further reducing this?
Each steering wheel can be separated into several components, the ring, the frame, the covering and the
electronics. We can arrange the components in terms of value, of which the ring and the frame are the most
expensive parts. We can further save costs by treating the ring and the frame as the base product, and the
covering and the electronics as customizations onto the base product. The supplier simply provides one
variant of the frame and ring, and we independently customize each steering wheel by adding different
coverings and electronics.
This allows to vendor to have economies of scale by having only to produce one type of frame and ring.
Stage 3: Implementing the Solution
Explore how you would convince the various stakeholders about the merits of this new method of component
sourcing. For example: the manufacturing engineers, the designers, the sales & marketing dept, the finance
department. What is the impact to each of these groups?"
"Market Expansion Cases
CO-BRANDED CREDIT CARDS

Question:
An oil company has its own credit card that many of its customers use when they fill up their car with gas.
Recently, other companies have begun entering into agreements for co-branded cards (i.e. Amoco + Visa). This
company wants to know if it should do the same. Either way, should it continue to offer its own credit card?

Additional Information:
• Considered the marketing research that had been conducted.
• Explored the focus of the company (they had no business trying to run credit card processing).","Possible Approach:
CUSTOMER
• Do current customers value the card - do they use it? About 20% use it and like it.
• Would a co-branded card draw new customers or increase loyalty? Yes, people indicated they’d be more
likely to visit our stations if we had the co-branded cards. However convenience is the main consideration
when selecting a location.
COMPANY

• Is the company currently performing the processing in-house - is it profitable? Yes, they’re doing it in-
house but are not making much money on it.

• Would the co-branded card processing be out-sourced - does it offer attractive margins? That’s an option;
the margins appear to be better if processing is out-sourced.
COMPETITORS
• How many competitors have co-branded cards? Only two, but others are looking.
• If they don’t move now, would their choice of partners be limited? Probably.
RECOMMENDATION
• Offer the co-branded card, but out-source it. Given that existing customers use and like the company card,
they should continue offering it, but attempt to shift customers to use the co-branded card.

• The data processing operations for it should also be out-sourced. They should research marketing (co-
marketing) tactics that could improve the attractiveness of the card to the company’s customers - with the

intent of increasing the number of customers."
"TIRE MANUFACTURER.COM

Question:
You are having lunch with a former client, the CEO of a major automotive tire producer. She explains that they
have been toying with the concept of the company making a foray into e-commerce. She hasn’t devoted much
thought to the strategy involved and would like you’re input regarding the attractiveness of such a move.
Additional Information:
• Client is currently largest player in the industry but facing traditional domestic competition in addition to
increased foreign competition
• Client’s competitive advantages have traditionally been brand, customer relationships and technological
innovation.
• Client’s main business is supply to original equipment manufacturers (OEMs)
• Secondary existing channel includes franchised service and retail outlets
• Third channel is direct sales to industrial clients (fleet services)","Approach:
Key Issues:
• What are the capabilities of e-commerce?
• Direct sales
• Service complement via customer service, product information, etc.
• Sourcing data/order management system
• Channel data/order management system
• Other intranet capabilities
Æ Client is primarily interested in direct sales opportunities (other uses of electronic data interfaces are in use or
under development)
• What is the market?
• Segment description and size
• Who would buy tires over the internet (installation?)
• Break the market down
• Draw a pie chart! How big of a slice can you get?
• What are the advantages to the consumer for buying tires online?
• Does that overlap with segments served by existing channels?
• What are competitors doing? How will they respond? How quickly?
• What are the alternatives to e-commerce? (Phone orders, direct mail, etc.)
• What are the advantages of this channel? Disadvantages?
• Cost reductions? Margin comparison to other channels?
• Underserved segments?
• What investment is required? What is the relative ROE compared to other channels?
• What will be the impact of an e-commerce strategy on existing channels? What will that do to channel
relationships?
• How is the product delivered? Installed?
• Is there an advantage to forming a strategic alliance with an e-commerce merchant prior to developing our own
capability?
Notes:
Consider the problem from both marketing and operational perspectives. Framework starts from “where’s the
market going?” and goes to operating tactics to enable necessary innovation, “how do we get to there?”
Identify what segments might want to buy online (“bargain hunters”, “web surfers”, etc.). Why do they want to buy
online? (Price, convenience) How big are these segments? (pie chart to get percent of total market then size total
market). Which segments are most profitable to serve? Why? Which are growing the fastest? Why?
How do you deliver the “order winning criteria” (OWC) that the segments demand? (do not use the term OWC,
they’ve heard it 20 times so far that day). One concept is to use the existing service and retail outlet channel in
combination with just in time (JIT). Customers would purchase tires and schedule an appointment for installation
online. Installation would occur at a local service and retail outlet of the client’s. If convenience is the OWC then
perhaps the vehicle is picked up at the consumer’s home or business and returned later that day.
The online order might initiate the delivery of the merchandise to the outlet via company shipping or expedited
shipping (UPS?) and be connected to the company’s inventory and manufacturing management systems
(manufacturing resource planning -- MRP, enterprise resource planning -- ERP). This saves money for the company
while allowing channels to maintain a margin. It also reduces costs for the service and retail outlets through lower
inventory levels and smaller stores while increasing customer satisfaction through guaranteed stocking and
improved service (appointments).
Same concept could be used with alternative channels (Sam’s Club, Kmart) in areas without service and retail
outlets to allow expansion without incurring the administrative costs related to outlets (which may no longer be the
most efficient/profitable means of selling tires to consumers).
Does the company have the capabilities required to enable this strategy? If not, how do they develop or acquire
them? How will competitors react? Is the company better off regardless of what competitors do? How does the
company sustain an advantage in the electronic marketplace? Does it make sense? Should the company do this
itself or seek a partner?"
"MEDICAL PRODUCTS MANUFACTURER

Questions:
The client is a producer of medical products selling primarily to hospitals and doctors. The client wants to
expand/enter the home health-care market. The initial investment will be $70 million. How would you evaluate
whether or not the expansion/investment is a good idea? What are the key issues and key success factors you would
evaluate? What information would you need to make the decision?","Approach:
New Market Analysis:
A 5 forces type framework would be useful in analyzing the new market.
Need to gather as much information as possible about the new market.
Questions you’d want to consider:
What is the size of the home health care market?
What does the competition currently look like?
Who are the players?
What is their relative market share?
How long have they been in the market?
What do they compete on?
Is the market growing?
Are there any barriers to entry that I would need to consider?
Operational/Current Capacity Analysis:
Does the client have excess capacity?
Will there be any additional equipment needed?
Are the manufacturing processes similar? Is the new market a complementary market?
Will we need a new supply chain?
Financial Analysis:
Quick NPV analysis – discuss how you would determine if the expansion will add value to the company (i.e. will
the annual cash flows discounted back at the WACC provide a positive NPV?)
Strategic Analysis:
Does the expansion fit with the companies’ vision?
Does it fit with the company’s image?
Is the new market complementary to their current lines of business? Is it a logical fit?
Is their current market mature (i.e. do they need to diversify in order to maintain sales/earnings growth?)?"
"FEEDING THE ARMY
A foodservices company wishes to explore new markets in order to help meet its goal of increasing revenue by
15% over the next few years. A market that they are interested in is feeding the hungry men and women in
the US military. Is this a worthwhile opportunity?
Interviewer Information:
Company has $1BB in revenues for the past few years with minimal growth.
Company average net profit margin is 5% on revenues.
Company is engaged in foodservice and facilities management, with 80% of revenues attributable to foodservices.
The company does not currently have any contracts with the military or the federal government.
The company is Canadian.
The company is primarily looking to serve food in military dining halls for military personnel who live on base.
A mess hall can be viewed as similar to a college dining hall.","Possible Approach

Interviewee should first define “worthwhile.” In the context of the problem statement, an expected interpretation
should be whether or not entering this market will make a significant contribution to realizing the 15% revenue
growth over the next few years. Additionally, the interviewee should be expected to perform a simple industry
analysis to determine barriers to entry, etc.
To answer the first question, a rough market sizing should be done. It is not so important that the numbers come out
to be anything particular; however, the interviewee should be able to brainstorm and identify the likely key drivers
of revenue for this market:
Size the market
The purpose of sizing the market is to determine if the opportunity is large enough to significantly increase
revenues.
Market Size (annual revenue) = [number of people in the military] x [average meals per day] x [average price per
meal] x [days per year]
Some reasonable numbers might be:
Market size = [500,000 people in the military] x [3 meals per day] x [$3 per meal] x [365 days] = $1.5 BB >>
$$150MM
Interviewee should conclude that the potential market size warrants further investigation into the opportunity.
Industry Analysis
The purpose of this is to determine how this market works, how profitable the industry is and what the key success
factors are to enter the market and gain market share in the industry.
The interviewee should try to gain clarity around exactly what services the company can perform and how they will
make money. This might be done in the context of a 5 forces type analysis.
Power of suppliers: Food suppliers are specially certified by the government as Prime Vendors. The company will
have no freedom to choose suppliers. The company will not need to buy the food from the suppliers; food will be delivered each day by the supplier and paid for by the government.
Potential implications to recognize: Company will not be able to leverage existing relationships with its own,
possibly higher quality suppliers. Company will not be reimbursed for the cost of food, therefore can be expected to
be reimbursed for labor involved in value-added activities such as cooking, serving and cleaning. It should be
recognized that the last implication will reduce the potential revenues if the interviewee assumed that the price per
meal included the cost of food.
Power of buyers: The end users are military personnel. The buyer of the foodservice is the military dining facility.
The mechanism of purchase involves competitive bid processes to win a 10 year contract, at which point it is re-bid.
The winning bid is the typically the low cost bid. Government regulations define who is qualified to bid. All of the
current contracts that have been awarded to private businesses have been award to small or disadvantaged
businesses due to government regulation. Our company is not small or disadvantaged. Government contracts
reimburse cost plus a “reasonable” margin for profit.
Potential implications to recognize: The company is unable to compete due to regulations and is required to partner
with or subcontract to small businesses. This will have effects on the potential revenues (a minority interest in a
small business, or a subcontracting situation will reduce the revenues). The market will have to be captured in
chunks as each 10-year contract comes up for bid – thus for every $100 in market revenue, only $100/10 will be
available for bid each year.
Industry competitors: Military dining halls are served by military personnel or local small disadvantaged
businesses. There is only a small tendency for dining halls to shift from using military personnel to private business,
thus the market is reduced to that currently served by the small businesses. Currently small businesses serve about
20% of the military bases.
Potential implications to recognize: This immediately reduced total market size by 20%.
Threat of new entrants: Government contract regulations are the primary barrier to entry. It is not clear that the
government will change its rules with respect to awarding contracts to small businesses.
.
A final market sizing may adjust for the above factors:
• $1.5BB = base market size
• Adjustment for not being able to charge for food = 1⁄2 (assumes food drives half the cost of a meal)
• Adjustment for contract staggering = 1/10 (can only bid on the 10% of contracts that come up for re-bid
every year)
• Adjustment for the bid process = 50% (assumes company wins 50% of the contracts it bids for)
• Adjustment for military-served dining halls = 20% are served by small businesses
• Adjustment for partnering with small business = 50% company approximately splits the revenue with the
small business.
$1.5BB x [1/2] x [1/10] x [50%] x [20%] x [50%] = $4MM possible in first year...worthwhile?
The interviewee should have a plan for how to enter this market, and be able to articulate the implications of the
plan and the state of the industry on the likely revenues to be captured from this market. A recommendation on
whether or not to proceed should be provided."
"ACQUIRING NEW AIRLINE ROUTE

Question:
A major American airline is considering establishing new routes from Tokyo to several sites in the United States.
Would you recommend that they take this action?","Approach:
• We are dealing with establishing new routes and not acquiring existing ones.
• This case requires a complete examination of the customers and competition.
• Customers consist of both business and leisure travelers. While business travel from Japan to the U.S. has
been declining at about 25% over the last year, leisure travel has increased at a faster rate. It is expected
that leisure travelers will continue to grow at a faster rate than business travelers. Currently, about 50% of
all Japanese travelers to the U.S. are leisure travelers.
• It is extremely expensive to buy gates at Tokyo’s crowded airport.
• As it turns out, competition will come not only from other airlines at Tokyo, but also from a new airport
that’s being built in Osaka.
• Furthermore, Osaka is expected to attract a very high percentage of the leisure travelers. It is very
inconvenient for leisure travelers to fly out of Tokyo, where there’s heavy congestion and where prices tend
to be higher due to high gate prices. It is estimated that the leisure travelers at Tokyo airport could decrease
by 25-30%.
• If our client continues with their plans for buying gates in Tokyo, they will find it difficult to attract the
growing percentage of leisure travelers needed for their new routes to the U.S. It probably makes much
more economic sense to buy gates in Osaka instead.
• Another insight is the recognition that Osaka will increase the total number of airport gates in Japan. The
intense demand for gates at Tokyo will decrease considerably with the greater supply of gates at Osaka.
This fact most likely doesn’t change the benefits of buying gates in Osaka. However, there may also be a
new opportunity for our client to buy gates cheaply in Tokyo to establish new business traveler routes to
the U.S."
"BABY BELL DIVERSIFYING

Question:
A Baby Bell company is interested in diversifying into other areas besides telecommunications. They are
considering entering the market for electronic home security systems. Would you recommend that they do so?
Additional Information:
• The company is a holding company. They have previously made unsuccessful forays into software and
into real estate.
• The home security industry is highly fragmented. The top five players in the industry generate less than
4% of the total industry revenues. This implies that the industry largely consists of small, regional
companies.
• 10% of all residences currently own an electronic security system.","Approach:
• This is in some sense a razor and razor blade sort of business. The economics are:
Item Retail price Cost/Margin
Equipment & Installation $500-$1500 0-10% margin
Monthly service $20/month $5/inonth
• What strengths/competencies of the Baby Bell company are useful in this market?
Installation expertise
Operator services
Transmission system (phone lines)
• It turns out that the “expensive home” segment of this market is saturated. Growth has been slow in recent
years.
• Price sensitivity is unknown in “moderate-priced home” segment.
Conclusion:
The conclusion is that this business is a reasonably good fit for the company, and that more market research needs to
be done to assess the growth and profit potential of each segment of the market."
"PAYROLL PROCESSING

Question:
A company is very successful in the payroll processing business, allowing employers to out-source their payroll
function. The client is considering an expansion into the processing of pension checks for financial institutions.
Does this product extension make sense for a low-cost producer, and how can they best penetrate this market?","Possible Approach:
• The crucial question is how the checks are currently being processed (in-house by fund managers and banks
or out-sourced to other providers) and why?

• It turns out that virtually all financial institutions which disburse checks on a regular basis process them in-
house and are relatively cost inefficient in doing so. This however, does not necessarily present a market

opportunity on the basis of cost reduction. The check processing fees are an attractive profit center for all but
the smallest financial institutions because they can pass the costs (plus a huge margin) on to their clients.
Since the check processing fees are a relatively small part of the total fund management expense, the margins
can be very large without customer complaints. This makes the sub-business of in-house check processing
very attractive to many of the potential customers of the outsourcing business.
• Another factor which makes this product extension unattractive is the importance of accuracy and timelines in
check disbursement. The financial institutions would lose a great deal of goodwill if their “out-sourced
check” processor screwed up, and they had to explain to thousands of upset pensioners that it was another
company’s fault. Spending a little more to have it done in-house was considered prudent by many fund
management institutions.
• Note - the check processing business is not always cost driven (i.e., low cost might be critical to small
employers but quality may be more important to fiduciary service providers) and that a cost center for some
potential clients (businesses) might be a profit center for others (financial institutions)."
